fecha,habitaciones_ocupadas,temp_media,precipitacion,día_semana,es_festivo,nombre_festivo,es_vispera_festivo,es_vacaciones,evento,media_antelacion_dias,num_cancelaciones,estancia_media_dias,año_llegada,mes_llegada
2021-06-16,1,25.68,0.0,2,False,,False,False,,,0,,2021,6
2021-06-17,1,24.3,0.0,3,False,,False,False,,2.0,0,1.0,2021,6
2021-06-18,9,24.15,0.0,4,False,,False,False,,74.0,0,2.0,2021,6
2021-06-19,9,24.2,0.0,5,False,,False,False,,,0,,2021,6
2021-06-20,2,24.64,0.0,6,False,,False,False,,20.0,0,2.0,2021,6
2021-06-21,2,25.3,0.0,0,False,,False,False,,,0,,2021,6
2021-06-22,2,22.71,0.0,1,False,,False,False,,8.5,0,2.0,2021,6
2021-06-23,4,21.71,0.2,2,False,,True,False,,5.25,0,1.25,2021,6
2021-06-24,4,21.46,0.0,3,True,San Juan,False,False,,28.333333333333332,0,1.6666666666666667,2021,6
2021-06-25,9,22.75,0.0,4,False,,False,False,,54.285714285714285,0,2.142857142857143,2021,6
2021-06-26,7,23.26,0.0,5,False,,False,False,,55.0,0,1.0,2021,6
2021-06-27,1,24.06,0.0,6,False,,False,False,,,0,,2021,6
2021-06-28,2,23.3,0.0,0,False,,False,False,Mobile World Congress,15.0,0,3.0,2021,6
2021-06-29,2,22.97,0.0,1,False,,False,False,Mobile World Congress,,0,,2021,6
2021-06-30,1,23.67,0.0,2,False,,False,False,Mobile World Congress,,0,,2021,6
2021-07-01,1,24.39,0.0,3,False,,False,False,Mobile World Congress,29.0,0,1.0,2021,7
2021-07-02,3,24.58,0.0,4,False,,False,False,Barcelona Rock Fest,29.8,0,2.2,2021,7
2021-07-03,4,24.8,0.0,5,False,,False,False,Barcelona Rock Fest,1.0,0,1.0,2021,7
2021-07-04,1,24.1,0.0,6,False,,False,False,,1.0,0,2.0,2021,7
2021-07-05,3,25.14,0.0,0,False,,False,False,,23.0,0,2.5,2021,7
2021-07-06,1,25.44,0.0,1,False,,False,False,,,0,,2021,7
2021-07-07,1,24.2,0.0,2,False,,False,False,,,0,,2021,7
2021-07-08,2,22.88,14.2,3,False,,False,False,Cruïlla,0.0,0,4.0,2021,7
2021-07-09,1,24.32,0.0,4,False,,False,False,Cruïlla,,0,,2021,7
2021-07-10,3,24.86,0.0,5,False,,False,False,Cruïlla,53.0,0,4.5,2021,7
2021-07-11,3,25.25,0.0,6,False,,False,False,Cruïlla,0.0,0,1.0,2021,7
2021-07-12,3,24.95,0.0,0,False,,False,False,,34.0,0,4.0,2021,7
2021-07-13,8,22.71,0.0,1,False,,False,False,,6.0,0,3.0,2021,7
2021-07-14,8,22.74,0.0,2,False,,False,False,,,0,,2021,7
2021-07-15,8,23.69,0.0,3,False,,False,False,,,0,,2021,7
2021-07-16,0,24.41,0.0,4,False,,False,False,,298.2,0,3.0,2021,7
2021-07-17,0,24.56,0.0,5,False,,False,False,,,0,,2021,7
2021-07-18,3,25.13,0.0,6,False,,False,False,,93.75,0,3.5,2021,7
2021-07-19,4,26.7,0.0,0,False,,False,False,,3.0,0,3.0,2021,7
2021-07-20,4,26.5,0.0,1,False,,False,False,,,0,,2021,7
2021-07-21,3,26.66,0.0,2,False,,False,False,,,0,,2021,7
2021-07-22,9,26.76,0.0,3,False,,False,False,,98.0,0,3.0,2021,7
2021-07-23,9,27.34,0.0,4,False,,False,False,,,0,,2021,7
2021-07-24,9,25.88,0.0,5,False,,False,False,,,0,,2021,7
2021-07-25,1,25.2,0.0,6,False,,False,False,,0.0,0,4.0,2021,7
2021-07-26,1,25.25,0.0,0,False,,False,False,,15.666666666666666,0,2.6666666666666665,2021,7
2021-07-27,2,25.38,0.0,1,False,,False,False,,58.0,0,2.0,2021,7
2021-07-28,2,24.37,0.0,2,False,,False,False,,,0,,2021,7
2021-07-29,3,25.36,0.0,3,False,,False,False,,13.666666666666666,0,3.0,2021,7
2021-07-30,7,25.98,0.0,4,False,,False,False,,17.75,0,1.25,2021,7
2021-07-31,4,24.15,8.4,5,False,,False,False,,4.0,0,1.0,2021,7
2021-08-01,1,22.08,0.0,6,False,,False,False,,,0,,2021,8
2021-08-02,9,23.14,0.0,0,False,,False,False,,6.0,0,10.0,2021,8
2021-08-03,9,24.95,0.0,1,False,,False,False,,,0,,2021,8
2021-08-04,9,22.85,1.4,2,False,,False,False,,,0,,2021,8
2021-08-05,9,24.86,0.0,3,False,,False,False,,,0,,2021,8
2021-08-06,9,24.1,0.0,4,False,,False,False,,,0,,2021,8
2021-08-07,9,24.5,0.0,5,False,,False,False,Brunch Electronik,,0,,2021,8
2021-08-08,9,23.08,0.0,6,False,,False,False,Brunch Electronik,,0,,2021,8
2021-08-09,9,23.82,0.0,0,False,,False,False,Brunch Electronik,,0,,2021,8
2021-08-10,9,24.58,0.0,1,False,,False,False,Brunch Electronik,,0,,2021,8
2021-08-11,9,26.3,0.0,2,False,,False,False,,,0,,2021,8
2021-08-12,9,26.61,0.0,3,False,,False,False,,29.0,0,3.0,2021,8
2021-08-13,9,26.73,0.0,4,False,,False,False,,,0,,2021,8
2021-08-14,9,27.59,0.0,5,False,,True,False,,81.0,0,7.0,2021,8
2021-08-15,0,26.81,0.0,6,True,Asunción,False,False,,,0,,2021,8
2021-08-16,9,25.86,0.0,0,False,,False,False,,1.0,0,4.0,2021,8
2021-08-17,9,25.01,0.0,1,False,,False,False,,,0,,2021,8
2021-08-18,9,24.34,0.0,2,False,,False,False,,,0,,2021,8
2021-08-19,9,23.35,0.0,3,False,,False,False,,,0,,2021,8
2021-08-20,9,24.63,0.0,4,False,,False,False,,1.0,0,3.0,2021,8
2021-08-21,9,25.94,0.0,5,False,,False,False,,,0,,2021,8
2021-08-22,9,25.62,0.0,6,False,,False,False,,,0,,2021,8
2021-08-23,4,24.8,0.0,0,False,,False,False,,10.25,0,3.25,2021,8
2021-08-24,4,24.63,0.4,1,False,,False,False,,,0,,2021,8
2021-08-25,6,24.09,0.0,2,False,,False,False,,18.666666666666668,0,4.0,2021,8
2021-08-26,5,24.65,0.0,3,False,,False,False,,44.0,0,8.0,2021,8
2021-08-27,4,26.08,0.0,4,False,,False,False,,32.333333333333336,0,2.0,2021,8
2021-08-28,5,24.58,0.0,5,False,,False,False,,32.0,0,5.0,2021,8
2021-08-29,2,24.27,0.0,6,False,,False,False,,,0,,2021,8
2021-08-30,2,22.48,0.0,0,False,,False,False,,,0,,2021,8
2021-08-31,2,23.4,0.0,1,False,,False,False,,,0,,2021,8
2021-09-01,2,23.48,0.0,2,False,,False,False,,,0,,2021,9
2021-09-02,1,23.92,0.0,3,False,,False,False,,8.0,0,3.0,2021,9
2021-09-03,3,24.13,0.0,4,False,,False,False,,7.666666666666667,0,2.6666666666666665,2021,9
2021-09-04,3,23.87,0.0,5,False,,False,False,,9.0,0,2.0,2021,9
2021-09-05,1,24.98,0.0,6,False,,False,False,,,0,,2021,9
2021-09-06,2,25.65,0.0,0,False,,False,False,,61.5,0,2.0,2021,9
2021-09-07,2,25.49,0.0,1,False,,False,False,,,0,,2021,9
2021-09-08,0,25.48,0.0,2,False,,False,False,,,0,,2021,9
2021-09-09,3,25.29,0.0,3,False,,False,False,,39.5,0,1.75,2021,9
2021-09-10,4,23.38,1.6,4,False,,True,False,,62.0,0,2.0,2021,9
2021-09-11,2,23.8,0.0,5,True,Diada de Cataluña,False,False,,,0,,2021,9
2021-09-12,0,24.47,0.0,6,False,,False,False,,2.0,0,4.0,2021,9
2021-09-13,0,25.41,0.0,0,False,,False,False,,,0,,2021,9
2021-09-14,0,26.12,0.0,1,False,,False,False,,,0,,2021,9
2021-09-15,0,26.0,0.0,2,False,,False,False,,,0,,2021,9
2021-09-16,0,24.04,1.6,3,False,,False,False,,,0,,2021,9
2021-09-17,2,24.18,0.0,4,False,,False,False,,27.5,0,2.0,2021,9
2021-09-18,2,22.51,1.2,5,False,,False,False,,,0,,2021,9
2021-09-19,0,21.57,1.4,6,False,,False,False,,,0,,2021,9
2021-09-20,0,19.79,25.0,0,False,,False,False,,32.0,0,2.0,2021,9
2021-09-21,0,19.67,0.0,1,False,,False,False,,,0,,2021,9
2021-09-22,9,21.75,0.0,2,False,,False,False,,0.0,0,1.0,2021,9
2021-09-23,9,21.8,1.8,3,False,,False,False,La Mercè,0.0,0,1.0,2021,9
2021-09-24,6,22.05,0.0,4,False,,False,False,La Mercè,436.0,0,3.0,2021,9
2021-09-25,6,24.18,0.0,5,False,,False,False,La Mercè,,0,,2021,9
2021-09-26,6,23.24,0.0,6,False,,False,False,La Mercè,,0,,2021,9
2021-09-27,0,23.49,0.0,0,False,,False,False,,,0,,2021,9
2021-09-28,0,22.75,0.0,1,False,,False,False,,,0,,2021,9
2021-09-29,0,21.97,0.0,2,False,,False,False,,,0,,2021,9
2021-09-30,0,21.69,0.0,3,False,,False,False,,,0,,2021,9
2021-10-01,0,20.47,0.0,4,False,,False,False,CSIO Barcelona,,0,,2021,10
2021-10-02,0,21.99,0.2,5,False,,False,False,CSIO Barcelona,,0,,2021,10
2021-10-03,0,23.48,0.2,6,False,,False,False,CSIO Barcelona,,0,,2021,10
2021-10-04,1,16.07,34.4,0,False,,False,False,,1.0,0,2.0,2021,10
2021-10-05,1,19.72,0.0,1,False,,False,False,,,0,,2021,10
2021-10-06,0,19.49,0.0,2,False,,False,False,,,0,,2021,10
2021-10-07,1,19.36,0.0,3,False,,False,False,,11.0,0,4.0,2021,10
2021-10-08,2,18.98,0.0,4,False,,False,False,,39.5,0,2.5,2021,10
2021-10-09,4,18.82,0.2,5,False,,False,False,,14.5,0,1.5,2021,10
2021-10-10,4,18.1,0.2,6,False,,False,False,,9.0,0,2.0,2021,10
2021-10-11,1,18.82,0.0,0,False,,True,False,,,0,,2021,10
2021-10-12,0,18.62,0.0,1,True,Fiesta Nacional,False,False,Salón Náutico Internacional,,0,,2021,10
2021-10-13,1,18.83,0.0,2,False,,False,False,Salón Náutico Internacional,51.0,0,3.0,2021,10
2021-10-14,1,17.92,0.0,3,False,,False,False,Salón Náutico Internacional,,0,,2021,10
2021-10-15,3,19.84,0.0,4,False,,False,False,Salón Náutico Internacional,50.0,0,3.0,2021,10
2021-10-16,2,18.85,0.0,5,False,,False,False,Salón Náutico Internacional,,0,,2021,10
2021-10-17,2,18.18,0.0,6,False,,False,False,Salón Náutico Internacional,,0,,2021,10
2021-10-18,0,19.93,0.0,0,False,,False,False,,,0,,2021,10
2021-10-19,0,20.41,0.0,1,False,,False,False,,,0,,2021,10
2021-10-20,0,20.5,0.0,2,False,,False,False,,,0,,2021,10
2021-10-21,0,18.89,0.0,3,False,,False,False,,,0,,2021,10
2021-10-22,9,17.53,0.0,4,False,,False,False,,45.0,0,2.0,2021,10
2021-10-23,9,16.35,0.0,5,False,,False,False,,,0,,2021,10
2021-10-24,0,18.0,0.0,6,False,,False,False,,,0,,2021,10
2021-10-25,0,17.33,0.0,0,False,,False,False,,,0,,2021,10
2021-10-26,0,17.4,0.0,1,False,,False,False,,,0,,2021,10
2021-10-27,0,16.85,0.0,2,False,,False,False,,,0,,2021,10
2021-10-28,0,16.93,0.0,3,False,,False,False,,,0,,2021,10
2021-10-29,0,18.19,27.8,4,False,,False,False,,,0,,2021,10
2021-10-30,9,18.58,16.0,5,False,,False,False,,19.0,0,2.0,2021,10
2021-10-31,9,19.25,0.0,6,False,,True,False,,,0,,2021,10
2021-11-01,0,17.75,1.8,0,True,Todos los Santos,False,False,,,0,,2021,11
2021-11-02,0,15.05,0.0,1,False,,False,False,,,0,,2021,11
2021-11-03,0,13.78,0.0,2,False,,False,False,,,0,,2021,11
2021-11-04,0,12.98,0.0,3,False,,False,False,,,0,,2021,11
2021-11-05,4,12.34,0.0,4,False,,False,False,Llum BCN,28.0,0,2.0,2021,11
2021-11-06,4,12.9,0.0,5,False,,False,False,Llum BCN,,0,,2021,11
2021-11-07,0,13.27,0.0,6,False,,False,False,Llum BCN,,0,,2021,11
2021-11-08,0,14.7,0.0,0,False,,False,False,,,0,,2021,11
2021-11-09,0,14.34,0.0,1,False,,False,False,,,0,,2021,11
2021-11-10,0,15.33,10.4,2,False,,False,False,,,0,,2021,11
2021-11-11,0,16.63,1.6,3,False,,False,False,,,0,,2021,11
2021-11-12,0,17.55,0.2,4,False,,False,False,,,0,,2021,11
2021-11-13,0,16.9,0.0,5,False,,False,False,,,0,,2021,11
2021-11-14,0,14.6,8.4,6,False,,False,False,,,0,,2021,11
2021-11-15,0,12.91,0.2,0,False,,False,False,,,0,,2021,11
2021-11-16,0,13.05,3.2,1,False,,False,False,,,0,,2021,11
2021-11-17,0,13.0,0.0,2,False,,False,False,,,0,,2021,11
2021-11-18,0,12.09,0.4,3,False,,False,False,,,0,,2021,11
2021-11-19,0,12.29,0.0,4,False,,False,False,,,0,,2021,11
2021-11-20,0,12.88,0.0,5,False,,False,False,,,0,,2021,11
2021-11-21,0,13.98,0.0,6,False,,False,False,Trial Indoor Barcelona,,0,,2021,11
2021-11-22,0,12.8,1.6,0,False,,False,False,,,0,,2021,11
2021-11-23,0,12.86,25.8,1,False,,False,False,,,0,,2021,11
2021-11-24,0,11.67,4.8,2,False,,False,False,,,0,,2021,11
2021-11-25,0,11.11,0.4,3,False,,False,False,,,0,,2021,11
2021-11-26,0,10.83,0.0,4,False,,False,False,,0.0,0,1.0,2021,11
2021-11-27,0,9.07,0.0,5,False,,False,False,,,0,,2021,11
2021-11-28,0,7.5,0.0,6,False,,False,False,,,0,,2021,11
2021-11-29,0,9.0,0.0,0,False,,False,False,,,0,,2021,11
2021-11-30,0,10.66,0.0,1,False,,False,False,,,0,,2021,11
2021-12-01,0,10.98,0.0,2,False,,False,False,,,0,,2021,12
2021-12-02,0,10.56,12.2,3,False,,False,False,,,0,,2021,12
2021-12-03,0,9.59,0.0,4,False,,False,False,,66.0,0,3.0,2021,12
2021-12-04,0,11.89,0.0,5,False,,False,False,,,0,,2021,12
2021-12-05,0,9.88,0.0,6,False,,True,False,,0.0,0,2.0,2021,12
2021-12-06,0,9.0,0.0,0,True,Día de la Constitución,False,False,,,0,,2021,12
2021-12-07,1,11.97,0.0,1,False,,True,False,,7.0,0,12.0,2021,12
2021-12-08,1,12.2,0.0,2,True,Inmaculada,False,False,,,0,,2021,12
2021-12-09,1,8.33,0.0,3,False,,False,False,,,0,,2021,12
2021-12-10,3,12.25,0.0,4,False,,False,False,,63.0,0,2.0,2021,12
2021-12-11,3,10.07,0.0,5,False,,False,False,,,0,,2021,12
2021-12-12,1,12.59,0.0,6,False,,False,False,,,0,,2021,12
2021-12-13,1,11.58,0.0,0,False,,False,False,,,0,,2021,12
2021-12-14,1,10.54,0.0,1,False,,False,False,,,0,,2021,12
2021-12-15,1,11.04,0.0,2,False,,False,False,,,0,,2021,12
2021-12-16,1,10.59,0.0,3,False,,False,False,,,0,,2021,12
2021-12-17,1,10.7,0.0,4,False,,False,False,,,0,,2021,12
2021-12-18,2,10.61,0.0,5,False,,False,False,,2.0,0,3.0,2021,12
2021-12-19,1,9.83,0.0,6,False,,False,False,,,0,,2021,12
2021-12-20,1,9.49,0.0,0,False,,False,False,,,0,,2021,12
2021-12-21,0,10.32,0.0,1,False,,False,False,,,0,,2021,12
2021-12-22,2,10.64,0.0,2,False,,False,False,,55.0,0,4.0,2021,12
2021-12-23,3,12.32,0.0,3,False,,False,True,,1.0,0,1.0,2021,12
2021-12-24,2,13.61,0.0,4,False,,True,True,,,0,,2021,12
2021-12-25,2,13.91,0.0,5,True,Navidad,True,True,,,0,,2021,12
2021-12-26,3,12.33,0.0,6,True,San Esteban,False,True,,1.0,0,1.0,2021,12
2021-12-27,0,15.84,0.0,0,False,,False,True,,8.0,0,2.0,2021,12
2021-12-28,0,16.5,0.0,1,False,,False,True,,,0,,2021,12
2021-12-29,0,15.95,0.0,2,False,,False,True,,10.0,0,3.0,2021,12
2021-12-30,9,14.68,0.0,3,False,,False,True,,49.666666666666664,0,3.0,2021,12
2021-12-31,9,12.95,0.0,4,False,,True,True,,,0,,2021,12
2022-01-01,9,10.72,0.0,5,True,Año Nuevo,False,True,,62.0,0,2.0,2022,1
2022-01-02,0,11.05,0.0,6,False,,False,True,,,0,,2022,1
2022-01-03,0,11.01,0.0,0,False,,False,True,,,0,,2022,1
2022-01-04,0,14.46,0.0,1,False,,False,True,,,0,,2022,1
2022-01-05,0,10.44,7.0,2,False,,True,True,,,0,,2022,1
2022-01-06,0,7.77,0.0,3,True,Reyes,False,True,,,0,,2022,1
2022-01-07,1,7.67,0.0,4,False,,False,True,,11.0,0,2.0,2022,1
2022-01-08,1,9.65,0.0,5,False,,False,False,,,0,,2022,1
2022-01-09,0,10.98,0.0,6,False,,False,False,,,0,,2022,1
2022-01-10,0,10.25,1.2,0,False,,False,False,,0.0,0,1.0,2022,1
2022-01-11,5,10.59,0.0,1,False,,False,False,,28.0,0,2.0,2022,1
2022-01-12,5,9.27,0.0,2,False,,False,False,,,0,,2022,1
2022-01-13,0,7.66,0.0,3,False,,False,False,,,0,,2022,1
2022-01-14,0,9.13,0.0,4,False,,False,False,,,0,,2022,1
2022-01-15,0,7.89,0.0,5,False,,False,False,,,0,,2022,1
2022-01-16,0,8.22,0.0,6,False,,False,False,,,0,,2022,1
2022-01-17,0,9.11,0.0,0,False,,False,False,,,0,,2022,1
2022-01-18,0,8.47,0.0,1,False,,False,False,,,0,,2022,1
2022-01-19,1,9.4,0.0,2,False,,False,False,,13.0,0,2.0,2022,1
2022-01-20,1,9.57,0.0,3,False,,False,False,,,0,,2022,1
2022-01-21,0,8.25,0.0,4,False,,False,False,,,0,,2022,1
2022-01-22,0,7.68,0.0,5,False,,False,False,,,0,,2022,1
2022-01-23,0,8.49,0.0,6,False,,False,False,,,0,,2022,1
2022-01-24,0,9.22,0.0,0,False,,False,False,,,0,,2022,1
2022-01-25,0,9.01,0.0,1,False,,False,False,,,0,,2022,1
2022-01-26,0,9.2,0.0,2,False,,False,False,,,0,,2022,1
2022-01-27,0,9.82,0.0,3,False,,False,False,,,0,,2022,1
2022-01-28,1,10.52,0.0,4,False,,False,False,,1.0,0,2.0,2022,1
2022-01-29,1,10.76,0.0,5,False,,False,False,,,0,,2022,1
2022-01-30,0,11.55,0.0,6,False,,False,False,,,0,,2022,1
2022-01-31,0,10.88,0.0,0,False,,False,False,,,0,,2022,1
2022-02-01,0,10.99,0.0,1,False,,False,False,,,0,,2022,2
2022-02-02,0,11.93,0.0,2,False,,False,False,,,0,,2022,2
2022-02-03,1,11.35,0.0,3,False,,False,False,BCNegra,145.0,0,3.0,2022,2
2022-02-04,1,11.64,0.0,4,False,,False,False,BCNegra,,0,,2022,2
2022-02-05,1,11.66,0.0,5,False,,False,False,BCNegra,,0,,2022,2
2022-02-06,0,11.53,0.0,6,False,,False,False,BCNegra,,0,,2022,2
2022-02-07,0,11.66,0.0,0,False,,False,False,BCNegra,,0,,2022,2
2022-02-08,0,12.17,0.0,1,False,,False,False,BCNegra,,0,,2022,2
2022-02-09,1,11.0,0.0,2,False,,False,False,BCNegra,2.0,0,2.0,2022,2
2022-02-10,1,10.55,0.0,3,False,,False,False,BCNegra,,0,,2022,2
2022-02-11,9,11.62,0.0,4,False,,False,False,BCNegra,15.0,0,2.0,2022,2
2022-02-12,9,11.07,0.8,5,False,,False,False,BCNegra,,0,,2022,2
2022-02-13,1,12.34,0.2,6,False,,False,False,BCNegra,6.0,0,2.0,2022,2
2022-02-14,2,13.12,0.2,0,False,,False,False,,0.0,0,17.0,2022,2
2022-02-15,1,11.36,0.0,1,False,,False,False,,,0,,2022,2
2022-02-16,1,11.99,0.0,2,False,,False,False,,,0,,2022,2
2022-02-17,1,14.59,0.0,3,False,,False,False,,,0,,2022,2
2022-02-18,6,13.2,0.0,4,False,,False,False,,22.2,0,2.0,2022,2
2022-02-19,6,11.12,0.0,5,False,,False,False,,,0,,2022,2
2022-02-20,1,11.12,0.0,6,False,,False,False,,,0,,2022,2
2022-02-21,2,13.03,0.0,0,False,,False,False,,35.0,0,5.0,2022,2
2022-02-22,2,12.13,0.0,1,False,,False,False,,7.0,0,2.0,2022,2
2022-02-23,2,12.36,0.0,2,False,,False,False,,90.0,0,2.0,2022,2
2022-02-24,3,13.02,0.0,3,False,,False,False,Carnaval,23.0,0,4.0,2022,2
2022-02-25,9,12.26,0.0,4,False,,False,False,Carnaval,30.5,0,2.0,2022,2
2022-02-26,9,11.25,0.0,5,False,,False,False,Carnaval,19.0,0,2.0,2022,2
2022-02-27,3,11.0,0.0,6,False,,False,False,Carnaval,,0,,2022,2
2022-02-28,1,12.36,0.0,0,False,,False,False,Carnaval,,0,,2022,2
2022-03-01,1,11.86,0.0,1,False,,False,False,Carnaval,,0,,2022,3
